name,class,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17
photo_0.png,clase0,0.36867258,0.5021843,0.35595953,0.51938224,0.35528082,0.4853919,0.37458178,0.53896785,0.37378007,0.46458536,0.45478863,0.59505045,0.46684206,0.41275287,0.6189272,0.6307005,0.63016164,0.39078724,0.7580135,0.6366097,0.7523231,0.3649003,0.7680867,0.558895,0.75842404,0.4291765,0.88998264,0.5730076,0.8765094,0.4009847,0.8359441,0.59163815,0.83763355,0.3898935
photo_1.png,clase0,0.36487088,0.49798626,0.35321698,0.5121696,0.35334584,0.4824946,0.37026963,0.53577095,0.37397474,0.4599995,0.4501636,0.5912839,0.46059176,0.41078377,0.61543757,0.63244677,0.6285179,0.38682982,0.75347996,0.63661385,0.7517893,0.36918944,0.7635975,0.5539281,0.7571859,0.42782578,0.8874552,0.5720923,0.87809217,0.40175444,0.8317971,0.60332704,0.8400836,0.38853407
photo_2.png,clase0,0.37013543,0.5009901,0.3563437,0.5177526,0.35620865,0.4848524,0.37357017,0.53843504,0.37378407,0.46432853,0.45353255,0.59388906,0.4649955,0.4116425,0.6178607,0.634565,0.6271786,0.39102823,0.7648768,0.6367776,0.7493851,0.36565,0.7679821,0.5580418,0.75850976,0.42903262,0.88650054,0.5661857,0.87501764,0.39860222,0.8164064,0.6279427,0.83639085,0.3888044
photo_3.png,clase0,0.36502713,0.49462956,0.35396498,0.5093179,0.35300654,0.47702378,0.37060615,0.5352484,0.37267822,0.45719916,0.4489469,0.58799523,0.46400654,0.4092595,0.6155406,0.6284882,0.6254833,0.38989198,0.7454934,0.63396585,0.75905013,0.36489543,0.77046025,0.557276,0.7628503,0.4276887,0.88992214,0.5697162,0.8776448,0.39621365,0.8345158,0.5827881,0.8391373,0.38002986
photo_4.png,clase0,0.36577564,0.49665222,0.3537433,0.51008135,0.35387897,0.47843382,0.37013397,0.5352559,0.37373623,0.45734426,0.45092723,0.58992434,0.46173665,0.4092253,0.61338073,0.63649,0.61750567,0.38764685,0.74913776,0.64233625,0.75225055,0.3634461,0.7607839,0.5586021,0.7550208,0.42818365,0.88583887,0.571586,0.87611884,0.40359914,0.8361057,0.5880655,0.8378612,0.3894173
photo_5.png,clase0,0.36704856,0.49659976,0.35458085,0.5115205,0.35447976,0.47996506,0.3714018,0.53683907,0.3734247,0.46052933,0.45181704,0.59610105,0.46267188,0.41079447,0.61655116,0.6365754,0.62916505,0.38986072,0.7550074,0.63994634,0.7562114,0.37054843,0.76265395,0.554986,0.7559857,0.43009457,0.8862557,0.5726768,0.87567186,0.40223953,0.8308095,0.6033979,0.83724964,0.39068455
photo_6.png,clase0,0.36627752,0.50266236,0.35257038,0.5180326,0.35340613,0.48682866,0.3686115,0.54099345,0.372956,0.4636681,0.4525051,0.59677225,0.46442112,0.4145723,0.6140527,0.6396474,0.62027645,0.39353544,0.7477562,0.6397046,0.75674856,0.37327236,0.76188624,0.5560841,0.7563894,0.43225262,0.88772845,0.5711498,0.87596345,0.40289125,0.83038205,0.60240877,0.8383483,0.38723502
photo_7.png,clase0,0.3672368,0.5034253,0.35484904,0.5220692,0.35462052,0.48883522,0.36875972,0.54326403,0.37240064,0.4647306,0.45178235,0.59615403,0.46659517,0.4156179,0.6140373,0.633662,0.6327653,0.39062327,0.75521463,0.6443191,0.7725693,0.36142313,0.76952827,0.5593971,0.7608403,0.43041334,0.8880672,0.57109934,0.8691146,0.38355255,0.8307605,0.5993738,0.8379738,0.37232858
photo_0.png,clase1,0.3614083,0.55485106,0.350303,0.5731884,0.35177892,0.5360401,0.37102804,0.597756,0.37222016,0.514368,0.4589367,0.64402276,0.46447456,0.4591672,0.6209245,0.6752629,0.6150497,0.40147042,0.7662599,0.68545306,0.72807574,0.31858283,0.7800771,0.60763156,0.7668133,0.47514105,0.89507335,0.61168283,0.886502,0.42573568,0.8401999,0.6247686,0.7694777,0.31697294
photo_1.png,clase1,0.36436996,0.5430756,0.35068238,0.5584627,0.3499044,0.5253786,0.37228197,0.58177453,0.37208557,0.5019684,0.45704016,0.633989,0.46692288,0.45088026,0.62357986,0.661422,0.61852145,0.39172205,0.75412554,0.6763527,0.74006605,0.30990228,0.7812645,0.5972307,0.7680248,0.46711922,0.8937913,0.6053548,0.88809824,0.41634518,0.8365535,0.6248643,0.7783665,0.31059742
photo_2.png,clase1,0.3616488,0.53626597,0.3501225,0.55334747,0.3528487,0.5188654,0.3717979,0.5778419,0.37414485,0.49620026,0.4510613,0.62886906,0.46302956,0.44822782,0.6177175,0.65913033,0.61268073,0.38896665,0.7497918,0.6733515,0.73588824,0.30290082,0.77936476,0.59365505,0.7658572,0.4648077,0.8928365,0.6006874,0.8852562,0.42173004,0.83658683,0.62350345,0.77517265,0.29843828
photo_3.png,clase1,0.36479473,0.537207,0.35250387,0.5542345,0.352053,0.5210031,0.3730268,0.58055365,0.3727973,0.50103164,0.455944,0.63449746,0.46009952,0.45052728,0.61286914,0.65950835,0.5976282,0.38183603,0.7524036,0.67360586,0.72518694,0.28348395,0.7796878,0.5937209,0.7666557,0.4657993,0.8969769,0.601868,0.88804674,0.42525744,0.83685577,0.6259283,0.75877357,0.28324956
photo_4.png,clase1,0.36661577,0.5433901,0.35332403,0.56267744,0.35253358,0.52624786,0.37147522,0.58540237,0.37213254,0.5037016,0.46043968,0.6372266,0.45952678,0.4527994,0.6176084,0.6609628,0.6041955,0.38506877,0.76742053,0.6704606,0.7259466,0.2841164,0.78117335,0.5996774,0.7714679,0.46795306,0.8957297,0.60386133,0.8875507,0.42309186,0.8373631,0.62608844,0.7598435,0.28240347
photo_5.png,clase1,0.36776257,0.5430406,0.35462806,0.56204164,0.3538816,0.52645713,0.37099442,0.58567894,0.37207562,0.5044037,0.45963797,0.63848513,0.4603641,0.45239243,0.61809313,0.6631834,0.60575396,0.3850766,0.76488054,0.67308307,0.7268611,0.2856655,0.78175926,0.60016876,0.769412,0.46829447,0.89331836,0.6077037,0.88523096,0.4258644,0.837991,0.62011874,0.7622794,0.2851869
photo_6.png,clase1,0.36472625,0.54446334,0.35122344,0.56253415,0.3507855,0.52620625,0.37027144,0.5833856,0.37229952,0.50214756,0.45505616,0.63559,0.45940945,0.45246303,0.6166531,0.660818,0.60584563,0.38422558,0.7568109,0.6766592,0.72663903,0.28879458,0.7813031,0.5985201,0.7681211,0.46563968,0.89280593,0.6024473,0.88503873,0.42377695,0.8384688,0.62388176,0.7619134,0.28830668
photo_7.png,clase1,0.36246377,0.5425345,0.34780607,0.55945885,0.34772906,0.52503973,0.36892653,0.5847136,0.3698476,0.5031605,0.45333672,0.6397203,0.45853335,0.45162043,0.61606467,0.6700046,0.60618293,0.38356072,0.7610311,0.68287873,0.7294054,0.28603742,0.7827589,0.6014435,0.767848,0.4655517,0.89062524,0.6010146,0.8865968,0.41262397,0.8372244,0.6176504,0.76410335,0.28566846
photo_0.png,clase2,0.3631495,0.5250268,0.35079277,0.545648,0.35060662,0.50903904,0.3707006,0.56975436,0.373162,0.4848983,0.45041305,0.62020206,0.44663775,0.4370118,0.61050844,0.6488676,0.54312664,0.31097728,0.7516367,0.6594151,0.6061554,0.16937356,0.7751739,0.5760432,0.76107883,0.44554052,0.88259804,0.5905876,0.8799027,0.40804645,0.8345446,0.6099224,0.62663305,0.16853856
photo_1.png,clase2,0.36353183,0.5368239,0.35148,0.5552949,0.34961373,0.51988834,0.37576327,0.57957184,0.37245986,0.49694225,0.45486796,0.6250561,0.45053443,0.4460674,0.6144426,0.6698474,0.5403173,0.318071,0.7566906,0.6792175,0.60215527,0.17963234,0.7746817,0.57938015,0.765018,0.45111847,0.8831954,0.59020656,0.87910026,0.41568673,0.8339864,0.62167597,0.8509063,0.44016445
photo_2.png,clase2,0.36542737,0.5348969,0.3528696,0.55251604,0.3557369,0.5167358,0.37480462,0.57537615,0.37539765,0.4934907,0.45308504,0.62514,0.4496249,0.44577944,0.61247194,0.6646851,0.54150593,0.31734002,0.7556325,0.6673627,0.6008328,0.17908446,0.7778802,0.5789882,0.7629072,0.447273,0.88647527,0.58734185,0.8823507,0.41593152,0.836782,0.6049097,0.850917,0.4396206
photo_3.png,clase2,0.36658096,0.5308069,0.3537694,0.55055857,0.35534498,0.5125102,0.3746574,0.57154185,0.3776883,0.4914336,0.4588563,0.6211885,0.45012566,0.446149,0.6064558,0.66378385,0.5295986,0.31800976,0.7548038,0.678389,0.5816294,0.1715757,0.7735872,0.5781786,0.7604858,0.447849,0.8831231,0.58548003,0.8801114,0.41830608,0.83296955,0.6155888,0.8495631,0.43946493
photo_4.png,clase2,0.36995715,0.52670765,0.3561905,0.5463598,0.35882875,0.5087223,0.37445402,0.5704405,0.37832296,0.49204272,0.46319517,0.6253774,0.45064634,0.44786435,0.6105015,0.67193484,0.5285632,0.31870162,0.7558836,0.6773569,0.58070064,0.17271362,0.77538794,0.5738403,0.76428366,0.4476437,0.8839605,0.583894,0.8819105,0.4176771,0.8325502,0.6171291,0.85099804,0.43849427
photo_5.png,clase2,0.36657822,0.5310106,0.3537472,0.5506629,0.35589683,0.513183,0.37356865,0.57619274,0.37758392,0.49337226,0.4574164,0.62503433,0.4502164,0.44886643,0.6135582,0.6726849,0.53009,0.31840926,0.7531307,0.67330015,0.5796528,0.17283142,0.77369463,0.5765645,0.7641501,0.45006055,0.8859967,0.58853745,0.8811285,0.41771457,0.83588314,0.6208876,0.85239357,0.4401705
